Artist, Track Names, Number of Appearances on the ranking
"Cardi B", "WAP (feat. Megan Thee Stallion)",1
BTS, Dynamite "Boy With Luv (feat. Halsey)" ON "Stay Gold",4
Maluma, Haw√°i "Parce (feat. Justin Quiles)" ADMV,3
"Jawsh 685", "Savage Love (Laxed - Siren Beat)",1
Drake, "Laugh Now Cry Later (feat. Lil Durk)" "Toosie Slide" "Chicago Freestyle (feat. Giveon)",3
"Harry Styles", "Watermelon Sugar" "Adore You" Falling,3
DaBaby, "ROCKSTAR (feat. Roddy Ricch)",1
"The Weeknd", "Blinding Lights" "In Your Eyes",2
24kGoldn, "Mood (feat. Iann Dior)",1
"SAINt JHN", "Roses - Imanbek Remix",1
Topic, "Breaking Me",1
"Pop Smoke", "Mood Swings (feat. Lil Tjay)" "For The Night (feat. Lil Baby & DaBaby)" "The Woo (feat. 50 Cent & Roddy Ricch)" Dior "Got It On Me",5
"J Balvin", "UN DIA (ONE DAY) (Feat. Tainy)" Azul Rojo,3
"Joel Corry", "Head & Heart (feat. MNEK)",1
"Juice WRLD", "Come & Go (with Marshmello)" "Smile (with The Weeknd)" "Wishing Well" "Lucid Dreams" Robbery "Hate The Other Side (with Marshmello & The Kid Laroi)" Conversations "All Girls Are The Same" Righteous "Life's A Mess (feat. Halsey)" "Bandit (with YoungBoy Never Broke Again)",11
 DiOs M√≠o!", "Ay,1
"Nio Garcia", "La Jeepeta - Remix",1
Ozuna, Caramelo "Caramelo - Remix",2
"Conan Gray", Heather,1
"Tones And I", "Dance Monkey",1
"Jay Wheeler", "La Curiosidad",1
Powfu, "death bed (coffee for your head)",1
"Rauw Alejandro", "Tattoo - Remix with Camilo" "Eleg√≠ (feat. D√≠melo Flow)",2
Tainy, "Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",1
"Miley Cyrus", "Midnight Sky" "When I Look At You",2
Sech, Relaci√≥n,1
"Lewis Capaldi", "Someone You Loved" "Before You Go" Bruises,3
 Tory Lanez & Lil Wayne) - Remix", "WHATS POPPIN (feat. DaBaby,1
"Lady Gaga", "Rain On Me (with Ariana Grande)" Shallow,2
"Surf Mesa", "ily (i love you baby) (feat. Emilee)",1
"Black Eyed Peas", MAMACITA "RITMO (Bad Boys For Life)",2
"Dua Lipa", "Break My Heart" "Don't Start Now" Physical,3
"Aya Nakamura", "Djadja (feat. Maluma) - Remix",1
"DJ Khaled", "GREECE (feat. Drake)" "POPSTAR (feat. Drake)",2
"Chris Brown", "Go Crazy" "No Guidance (feat. Drake)",2
"Lil Mosey", "Blueberry Faygo",1
"Internet Money", Lemonade,1
BLACKPINK, "How You Like That",1
"Tate McRae", "you broke me first",1
"Ava Max", "Kings & Queens",1
"Ariana Grande", "Stuck with U (with Justin Bieber)" "7 rings",2
StaySolidRocky, "Party Girl",1
Trueno, "Mamichula - con Nicki Nicole",1
"Billie Eilish", "my future" "bad guy" "lovely (with Khalid)" "everything i wanted" "when the party's over",5
"Taylor Swift", cardigan "exile (feat. Bon Iver)" "the 1" august "the last great american dynasty",5
"Roddy Ricch", "The Box",1
"Post Malone", Circles "Sunflower - Spider-Man: Into the Spider-Verse" "rockstar (feat. 21 Savage)",3
"Travis Scott", goosebumps "HIGHEST IN THE ROOM" "The Plan - From the Motion Picture ""TENET""" "SICKO MODE",4
ROSAL√?A, "TKN (feat. Travis Scott)",1
"KAROL G", Tusa,1
"Justin Bieber", "Intentions (feat. Quavo)",1
B√òRNS, "Electric Love",1
"Shawn Mendes", Se√±orita,1
"Jason Derulo", "Take You Dancing",1
"Maroon 5", Memories "Nobody's Love",2
"Trevor Daniel", Falling,1
Marshmello, "Be Kind (with Halsey)" Happier,2
KHEA, "Ayer Me Llam√≥ Mi Ex (feat. Lenny Santos)",1
"Anuel AA", "Hasta Que Dios Diga" Reggaetonera,2
Labrinth, "Still Don't Know My Name",1
"Curtis Waters", "Stunnin' (feat. Harm Franklin)",1
Regard, "Ride It" Secrets,2
"THE SCOTTS", "THE SCOTTS",1
 Nicky Jam, "PORFA Remix ( Feat. Maluma,1
"Doja Cat", "Say So" "Boss Bitch",2
Saweetie, "Tap In",1
BENEE, Supalonely,1
"Arizona Zervas", ROXANNE,1
Future, "Life Is Good (feat. Drake)",1
ITZY, "Not Shy",1
Surfaces, "Sunday Best",1
Camilo, Favorito "El Mismo Aire - con Pablo Albor√°n",2
 Osquel, "Lean (feat. Towy,1
"Kane Brown", "Be Like That - feat. Swae Lee & Khalid",1
Nea, "Some Say - Felix Jaehn Remix",1
"Jerry Di", "Mi Cuarto",1
"Machine Gun Kelly", "my ex's best friend (with blackbear)",1
"Imagine Dragons", Believer,1
"JP Saxe", "If the World Was Ending - feat. Julia Michaels",1
Jul, "Bande organis√©e",1
"Bad Bunny", "Yo Perreo Sola" Safaera,2
Kygo, "Lose Somebody" "What's Love Got to Do with It",2
6ix9ine, GOOBA,1
"Melanie Martinez", "Play Date",1
"Harry Nach", "Tak Tiki Tak",1
"Ed Sheeran", "I Don't Care (with Justin Bieber)" "Shape of You" Perfect "Beautiful People (feat. Khalid)",4
Eminem, "Godzilla (feat. Juice WRLD)",1
Niack, "Oh Juliana",1
"Morgan Wallen", "7 Summers",1
"Jhay Cortez", "C√ìMO SE SIENTE - Remix",1
"Don Toliver", "After Party",1
XXXTENTACION, "Jocelyn Flores" SAD! Moonlight,3
blackbear, "hot girl bummer" "if i were u (with Lauv)",2
"Jack Harlow", "WHATS POPPIN",1
"Megan Thee Stallion", "Savage Remix (feat. Beyonc√©)",1
"Peach Tree Rascals", Mariposa,1
Wallows, "Are You Bored Yet? (feat. Clairo)",1
"James Arthur", "Say You Won't Let Go",1
"Headie One", "Ain't It Different (feat. AJ Tracey & Stormzy)",1
Gunna, "DOLLAZ ON MY HEAD (feat. Young Thug)",1
"Capital Bra", "Fr√ºhst√ºck in Paris",1
Queen, "Bohemian Rhapsody - 2011 Mix" "Don't Stop Me Now - 2011 Mix",2
MEDUZA, "Lose Control",1
"Robin Schulz", Alane,1
"The Kid LAROI", "GO (feat. Juice WRLD)",1
"Kendrick Lamar", "Money Trees",1
Conkarah, "Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",1
"Polo G", 21 "Martin & Gina",2
"Lil Baby", "We Paid (feat. 42 Dugg)",1
"John Legend", "All of Me",1
"Sam Smith", "My Oasis (feat. Burna Boy)",1
Halsey, "Without Me",1
"The Chainsmokers", "Something Just Like This",1
JACKBOYS, "OUT WEST (feat. Young Thug)",1
"Justin Quiles", PAM,1
KitschKrieg, Unterwegs,1
"Tame Impala", "The Less I Know The Better",1
Feid, PORFA,1
"Rod Wave", "Rags2Riches 2 (feat. Lil Baby)",1
Bausa, 2012,1
"Dean Lewis", "Be Alright",1
Passenger, "Let Her Go",1
"Alex Rose", Jangueo,1
"Manuel Turizo", "Qui√©reme Mientras Se Pueda",1
BANNERS, "Someone To You",1
000 Hours (with Justin Bieber)", "10,1
Kina, "Get You The Moon (feat. Sn√∏w)",1
"Vance Joy", Riptide,1
"Jowell & Randy", Anaranjado,1
"Noah Cyrus", July,1
Mustard, "Ballin' (with Roddy Ricch)",1
"Jason Mraz", "I'm Yours",1
"5 Seconds of Summer", Youngblood,1
